Optimizer,Dataset,objfname,Experiment,startTime,EndTime,ExecutionTime,trainAcc,trainTP,trainFN,trainFP,trainTN,testAcc,testTP,testFN,testFP,testTN,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10
PSO,Airlines,costNN,1,2019-12-26-21-18-16,2019-12-26-21-20-21,124.30553841590881,0.9502551954870693,25384.0,0.0,2037.0,13528.0,0.9520739511732638,13161.0,0.0,1011.0,6923.0,0.18543589484238918,0.18543589484238918,0.14658150416492424,0.13378009386680337,0.11659900688102705,0.11453034602426904,0.11135230047375339,0.10960579567098429,0.10912754155954606,0.10821188574666163
PSO,Airlines,costNN,2,2019-12-26-21-20-32,2019-12-26-21-22-46,133.51844477653503,0.8613152946347896,25384.0,0.0,5679.0,9886.0,0.8614837639251007,13161.0,0.0,2922.0,5012.0,0.23162323939684107,0.20040099353226154,0.15058144401769488,0.15058144401769488,0.14137896463362187,0.14137896463362187,0.1321688302637119,0.1321688302637119,0.13110469796698584,0.1282799322319852
PSO,Airlines,costNN,3,2019-12-26-21-22-57,2019-12-26-21-25-11,133.96329259872437,0.9447605558133287,23122.0,2262.0,0.0,15565.0,0.9393221142450817,11881.0,1280.0,0.0,7934.0,0.21001978073408553,0.1686201995733612,0.1686201995733612,0.1686201995733612,0.15452912601367938,0.15452912601367938,0.1436893353395659,0.11740147580697945,0.11740147580697945,0.11229711081718456
PSO,Airlines,costNN,4,2019-12-26-21-25-22,2019-12-26-21-27-37,134.79395127296448,1.0,25384.0,0.0,0.0,15565.0,1.0,13161.0,0.0,0.0,7934.0,0.18854293158406976,0.1836557416686245,0.1836557416686245,0.1836557416686245,0.1471093834810139,0.1471093834810139,0.11378620355160803,0.10799908313134281,0.10799908313134281,0.10799908313134281
PSO,Airlines,costNN,5,2019-12-26-21-27-48,2019-12-26-21-30-03,134.32649612426758,0.9043932696769151,25384.0,0.0,3915.0,11650.0,0.9054278264991704,13161.0,0.0,1995.0,5939.0,0.23350751732982616,0.23070393801316486,0.20585970969131137,0.1962213005104179,0.16862349361375142,0.1574366505785012,0.1370206181530707,0.13326438409702454,0.12401031590634629,0.12401031590634629
PSO,Airlines,costNN,6,2019-12-26-21-30-14,2019-12-26-21-32-24,129.64261531829834,0.9502551954870693,25384.0,0.0,2037.0,13528.0,0.9520739511732638,13161.0,0.0,1011.0,6923.0,0.19108838168038073,0.18315273018938294,0.14863150213467707,0.14694274378775618,0.14694274378775618,0.13169659553757823,0.11369287897573176,0.11369287897573176,0.11223216701012012,0.10974932773910986
PSO,Airlines,costNN,7,2019-12-26-21-32-35,2019-12-26-21-34-50,135.1779079437256,0.9760189504017193,25384.0,0.0,982.0,14583.0,0.974638539938374,13161.0,0.0,535.0,7399.0,0.2168292582778256,0.20948420442513366,0.20948420442513366,0.1665300144471762,0.1665300144471762,0.1665300144471762,0.16586587866097277,0.15548341797681292,0.14059134202970136,0.13975553883999253
PSO,Airlines,costNN,8,2019-12-26-21-35-02,2019-12-26-21-37-16,134.37239599227905,0.6822388825123935,25384.0,0.0,13012.0,2553.0,0.6832424745200284,13161.0,0.0,6682.0,1252.0,0.24655832094239086,0.23344799836082553,0.1853061040433924,0.14645429368412602,0.1464312444492025,0.1464312444492025,0.1464312444492025,0.1464312444492025,0.1464312444492025,0.1464312444492025
PSO,Airlines,costNN,9,2019-12-26-21-37-27,2019-12-26-21-39-42,134.272230386734,0.7075874868739164,25384.0,0.0,11974.0,3591.0,0.7104527139132496,13161.0,0.0,6108.0,1826.0,0.23766465628707822,0.2328287832957102,0.20912720949137767,0.1968893754605971,0.15215596555558636,0.15215596555558636,0.15215596555558636,0.15215596555558636,0.15215596555558636,0.15215596555558636
PSO,Airlines,costNN,10,2019-12-26-21-39-53,2019-12-26-21-42-06,132.5354118347168,0.9043932696769151,25384.0,0.0,3915.0,11650.0,0.9054278264991704,13161.0,0.0,1995.0,5939.0,0.18941108642182047,0.18941108642182047,0.18941108642182047,0.18941108642182047,0.167709412841175,0.15849112182536146,0.15223622738796724,0.15223622738796724,0.13841803705912845,0.137910265544241
PSO,Airlines,costNN,11,2019-12-26-21-42-17,2019-12-26-21-44-33,135.9235119819641,0.8613152946347896,25384.0,0.0,5679.0,9886.0,0.8614837639251007,13161.0,0.0,2922.0,5012.0,0.25312928256695627,0.23293076458329082,0.20181519056607944,0.19864111426237993,0.1945834148902379,0.16541353530707237,0.16541353530707237,0.16410643192579707,0.14290714246933542,0.13702995084224046
PSO,Airlines,costNN,12,2019-12-26-21-44-44,2019-12-26-21-46-58,134.25166821479797,0.8791911890400254,25384.0,0.0,4947.0,10618.0,0.8806826262147428,13161.0,0.0,2517.0,5417.0,0.2201733057552292,0.20734187607970012,0.20081698560909936,0.15905948686526486,0.14549835070738504,0.13691135434157317,0.11696566549676599,0.11589036522332276,0.11416981755071176,0.11416981755071176
PSO,Airlines,costNN,13,2019-12-26-21-47-10,2019-12-26-21-49-25,134.70696902275085,0.9760189504017193,25384.0,0.0,982.0,14583.0,0.974638539938374,13161.0,0.0,535.0,7399.0,0.19500807947867474,0.19362203071541614,0.16398465627811645,0.1540464070883945,0.10532462873482894,0.10034060238479521,0.10034060238479521,0.10023602167348473,0.10020940112507973,0.10014141124190623
PSO,Airlines,costNN,14,2019-12-26-21-49-36,2019-12-26-21-51-50,134.1126766204834,0.6902976873672129,25384.0,0.0,12682.0,2883.0,0.6923915619815122,13161.0,0.0,6489.0,1445.0,0.23634677823983397,0.21889454501270947,0.21656057293797148,0.19883330616380623,0.19666598645140845,0.18507651994379443,0.1630368317876168,0.16127670838312336,0.1494519964154081,0.14232390973554698
PSO,Airlines,costNN,15,2019-12-26-21-52-01,2019-12-26-21-54-16,134.64243984222412,1.0,25384.0,0.0,0.0,15565.0,1.0,13161.0,0.0,0.0,7934.0,0.2332712600647339,0.2053848926251235,0.13814178441815203,0.11958767941074408,0.11130532558389439,0.10951902426113136,0.10465330087967596,0.10465330087967596,0.10042282120303878,0.10031357966457151
PSO,Airlines,costNN,16,2019-12-26-21-54-27,2019-12-26-21-56-44,136.52660870552063,0.8791911890400254,25384.0,0.0,4947.0,10618.0,0.8806826262147428,13161.0,0.0,2517.0,5417.0,0.1940551536848331,0.1914237050541891,0.16283099744048335,0.11913434192905016,0.11913434192905016,0.11913434192905016,0.1152763651699505,0.1130013848876013,0.10804704405362484,0.10535332550177667
PSO,Airlines,costNN,17,2019-12-26-21-56-55,2019-12-26-21-59-01,125.26497197151184,0.9760189504017193,25384.0,0.0,982.0,14583.0,0.974638539938374,13161.0,0.0,535.0,7399.0,0.20464852211547535,0.1832830890811566,0.16997837726755596,0.13399494585516294,0.11219137273908505,0.11219137273908505,0.11219137273908505,0.11219137273908505,0.11219137273908505,0.11219137273908505
PSO,Airlines,costNN,18,2019-12-26-21-59-12,2019-12-26-22-01-19,126.63640236854553,0.8417299567755012,25384.0,0.0,6481.0,9084.0,0.8424271154301968,13161.0,0.0,3324.0,4610.0,0.23679747248436792,0.22154903965752665,0.20349000866300043,0.17748426766621173,0.1543861081994273,0.13228653537701746,0.13022945948357076,0.12967698147822962,0.12843467154729896,0.12698963506909555
PSO,Airlines,costNN,19,2019-12-26-22-01-30,2019-12-26-22-03-35,124.96084380149841,0.9043932696769151,25384.0,0.0,3915.0,11650.0,0.9054278264991704,13161.0,0.0,1995.0,5939.0,0.23189487846460388,0.1949957047188123,0.13583152360746006,0.11155139142127282,0.10711127294105177,0.10711127294105177,0.1070758409060062,0.1065977825203481,0.1065977825203481,0.1065977825203481
PSO,Airlines,costNN,20,2019-12-26-22-03-46,2019-12-26-22-05-51,124.84915733337402,0.8417299567755012,25384.0,0.0,6481.0,9084.0,0.8424271154301968,13161.0,0.0,3324.0,4610.0,0.24895656957877046,0.19855789385457806,0.19855789385457806,0.19855789385457806,0.17514009320410678,0.16634388846950998,0.14166466312469583,0.1328536846801185,0.12085768132327843,0.12028726589048856
